Year,Rep,Row ,Inbred Code,DTA(days),DTS(days),ASI(days),EH(cm),PH(cm),NOR/C,NOK/R,HGW(g),DTM(days),Fe(mg/kg),Zn(mg/kg)
Sp-24,1,1,SSY21,73,75,2,78,130.5,16,27,14.3,125,22.5,19.7
Sp-24,1,2,SSY20 ,71,72,1,75.3333333333333,147.333333333333,14,25,15.03,115,35.5,17.7
Sp-24,1,3,SSY33  ,75,79,4,66,132.333333333333,12,23,16.7,116,29,18.2
Sp-24,1,4,SSY24  ,81,83,2,67,113.333333333333,18,21,25.3,123,22,12.3
Sp-24,1,5,SDA21,71,72,1,63.3333333333333,125.666666666667,16,27,13.9,124,39,19.8
Sp-24,1,6,SS13 ,84,86,2,65.8,118.4,14,25,15.7,117,35,29
Sp-24,1,7,SSN21 ,73,75,2,62.6666666666667,131,16,22,19.8,119,28.5,14.4
Sp-24,1,8,SSN87,79,82,3,75.7,130,12,27,21.8,120,55,42.1
Sp-24,1,9, SDF-20,81,82,1,54,115.333333333333,16,25,16.9,115,41,20.7
Sp-24,1,10,SS42 ,74,76,2,49,109,16,27,22.3,119,33.3,16.6
Sp-24,1,11,SSM20,74,75,1,77.6666666666667,137,14,23,14.7,114,52,36.8
Sp-24,1,12,SDG19,78,80,2,60.6666666666667,114.666666666667,14,21,17.5,129,50,39
Sp-24,1,13,SDH21,79,81,2,58.6666666666667,120,18,27,21.7,120,33,21.5
Sp-24,1,14,SSDB20,75,76,1,65.6666666666667,140,16,24,32.4,115,43,25.7
Sp-24,1,15,SDE-20,74,75,1,53.6666666666667,127.333333333333,14,22,14.2,122,40.5,20.2
Sp-24,1,16,SSN22 ,80,81,1,69,132,18,26,11.6,130,28,13.8
Sp-24,1,17,SDC19 ,72,73,1,72.6666666666667,143,14,24,10.2,116,51,37.9
Sp-24,1,18,SSN22-1,74,75,1,69.3333333333333,147,12,23,18.5,123,40.5,16.7
Sp-24,1,19,11M2-1,78,80,2,64.6666666666667,126,14,25,19.9,122,31,18.3
Sp-24,1,20,20S3-1-2,80,83,3,68.7,112.6,16,26,20.5,123,33.6,19.9
Sp-24,1,21,2215-1--3-2-1,78,80,2,68,134.333333333333,18,21,21.4,119,38,18.1
Sp-24,1,22,R12-2-1,71,72,1,59,121.666666666667,16,25,22.3,116,42,19.7
